model,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse,oob_score
GradientBoosting,0.7122437448072211,0.4847488733790405,29.180231817791494,36.290920986571635,55.323582800928065,71.80644093961384,
RandomForest,0.6597578433091071,0.47306909983928636,29.558049063027408,36.00740832935222,60.15780372364382,72.6157387773793,0.466958684637264
ExtraTrees,0.5537908062909034,0.4294436822057578,34.68491179062309,38.52585490068612,68.89174227831604,75.56195502010141,
